total decks: 1114
0.3613, Patches the Pirate, 1
0.3379, Fire Fly, 2
0.2502, Bonemare, 2
0.2214, Prince Keleseth, 1
0.1851, Aya Blackpaw, 1
0.1833, Spellbreaker, 1
0.1806, Bloodsail Corsair, 2
0.1574, Golakka Crawler, 2
0.1532, Southsea Captain, 2
0.1380, Cobalt Scalebane, 2
0.1374, Bloodmage Thalnos, 1
0.1303, Leeroy Jenkins, 1
0.1273, Southsea Deckhand, 2
0.1258, The Lich King, 1
0.1204, Tar Creeper, 2
0.1175, Golakka Crawler, 1
0.1159, Doomsayer, 2
0.1125, Bittertide Hydra, 2
0.1115, Jade Spirit, 2
0.1107, Skulking Geist, 1
0.1082, Stonehill Defender, 2
0.1062, Doppelgangster, 2
0.0936, Acolyte of Pain, 1
0.0898, Tar Creeper, 1
0.0884, Kazakus, 1
0.0836, Acolyte of Pain, 2
0.0789, Doomsayer, 1
0.0789, Bonemare, 1
0.0783, Saronite Chain Gang, 2
0.0776, Medivh, the Guardian, 1
0.0699, Coldlight Oracle, 2
0.0697, Novice Engineer, 1
0.0687, Loot Hoarder, 1
0.0579, The Curator, 1
0.0572, Dirty Rat, 2
0.0563, Vicious Fledgling, 2
0.0554, Acherus Veteran, 2
0.0526, Rockpool Hunter, 2
0.0507, Murloc Warleader, 2
0.0507, Murloc Tidecaller, 2
0.0507, Gentle Megasaur, 2
0.0499, Dirty Rat, 1
0.0496, Corpsetaker, 2
0.0480, Saronite Chain Gang, 1
0.0473, Dread Corsair, 2
0.0469, Wild Pyromancer, 1
0.0468, Finja, the Flying Star, 1
0.0465, Cairne Bloodhoof, 1
0.0436, Barnes, 1
0.0430, Alexstrasza, 1
0.0384, Mind Control Tech, 1
0.0368, Primordial Drake, 1
0.0367, Naga Corsair, 2
0.0364, Gnomish Inventor, 1
0.0300, Y'Shaarj, Rage Unbound, 1
0.0298, Mistress of Mixtures, 2
0.0297, Argent Squire, 2
0.0292, N'Zoth, the Corruptor, 1
0.0277, Twilight Drake, 2
0.0275, Ysera, 1
0.0274, Wild Pyromancer, 2
0.0272, Fire Fly, 1
0.0263, Novice Engineer, 2
0.0250, Mind Control Tech, 2
0.0242, Earthen Ring Farseer, 2
0.0237, Tainted Zealot, 1
0.0232, Stonehill Defender, 1
0.0225, Elise the Trailblazer, 1
0.0202, Primordial Drake, 2
0.0202, Bittertide Hydra, 1
0.0194, Southsea Captain, 1
0.0193, Cobalt Scalebane, 1
0.0188, Dire Wolf Alpha, 1
0.0180, Southsea Deckhand, 1
0.0175, Crazed Alchemist, 1
0.0173, Dire Wolf Alpha, 2
0.0171, Servant of Kalimos, 2
0.0151, Gluttonous Ooze, 1
0.0147, Blazecaller, 2
0.0141, Kabal Courier, 1
0.0138, Spellbreaker, 2
0.0136, Coldlight Seer, 2
0.0135, Argent Commander, 2
0.0134, Stormwatcher, 1
0.0132, Naga Corsair, 1
0.0131, Mistress of Mixtures, 1
0.0131, Prince Valanar, 1
0.0128, Arcane Giant, 2
0.0114, Sea Giant, 1
0.0113, Vicious Fledgling, 1
0.0111, Defender of Argus, 2
0.0111, Happy Ghoul, 2
0.0111, Captain Greenskin, 1
0.0101, Netherspite Historian, 2
0.0098, Tol'vir Stoneshaper, 2
0.0098, Baron Geddon, 1
0.0097, Coldlight Oracle, 1
0.0095, Twilight Drake, 1
0.0094, The Black Knight, 1
0.0092, Hungry Crab, 1
0.0091, Burgly Bully, 1
0.0091, Mountain Giant, 2
0.0089, Bloodsail Corsair, 1
0.0089, Bloodsail Raider, 2
0.0088, Abusive Sergeant, 2
0.0086, Earthen Ring Farseer, 1
0.0085, Deathwing, 1
0.0080, Fire Plume Phoenix, 2
0.0078, Stampeding Kodo, 1
0.0076, Defender of Argus, 1
0.0071, Dark Iron Dwarf, 2
0.0070, Glacial Shard, 2
0.0069, Gadgetzan Auctioneer, 1
0.0066, Faceless Shambler, 1
0.0065, Snowflipper Penguin, 2
0.0065, Tol'vir Stoneshaper, 1
0.0064, Don Han'Cho, 1
0.0063, Burgly Bully, 2
0.0061, Gadgetzan Auctioneer, 2
0.0061, Mountain Giant, 1
0.0061, Tainted Zealot, 2
0.0059, Deathwing, Dragonlord, 1
0.0058, Grook Fu Master, 1
0.0057, Doppelgangster, 1
0.0057, Argent Squire, 1
0.0056, Dark Iron Dwarf, 1
0.0055, Sea Giant, 2
0.0053, Igneous Elemental, 2
0.0052, Mindbreaker, 1
0.0051, Nesting Roc, 1
0.0051, Acherus Veteran, 1
0.0051, Bloodworm, 2
0.0050, Loot Hoarder, 2
0.0049, Skelemancer, 2
0.0046, Book Wyrm, 1
0.0045, Stormwatcher, 2
0.0041, Malygos, 1
0.0041, Blazecaller, 1
0.0039, Murloc Tidehunter, 2
0.0039, Grook Fu Master, 2
0.0039, Auctionmaster Beardo, 1
0.0038, Faceless Shambler, 2
0.0037, Jade Spirit, 1
0.0037, Twin Emperor Vek'lor, 1
0.0037, C'Thun, 1
0.0037, Disciple of C'Thun, 2
0.0037, C'Thun's Chosen, 2
0.0037, Rattling Rascal, 1
0.0035, Devilsaur Egg, 2
0.0033, Yogg-Saron, Hope's End, 1
0.0032, Eater of Secrets, 1
0.0032, Primalfin Lookout, 2
0.0031, Deathspeaker, 1
0.0030, Hungry Crab, 2
0.0030, Mindbreaker, 2
0.0030, Questing Adventurer, 2
0.0030, Deathspeaker, 2
0.0030, Ironbeak Owl, 1
0.0028, Cult Master, 2
0.0026, Youthful Brewmaster, 2
0.0025, Ravasaur Runt, 2
0.0025, Nerubian Unraveler, 2
0.0025, Infested Tauren, 1
0.0024, Genzo, the Shark, 1
0.0023, Netherspite Historian, 1
0.0023, Ancient Watcher, 2
0.0023, Humongous Razorleaf, 2
0.0022, Bright-Eyed Scout, 2
0.0022, Happy Ghoul, 1
0.0022, Acidic Swamp Ooze, 1
0.0022, Phantom Freebooter, 1
