total decks: 50
0.6600, Blood Razor, 2
0.6400, Execute, 2
0.6000, Sleep with the Fishes, 2
0.5200, Armorsmith, 2
0.5200, Scourgelord Garrosh, 1
0.5000, Slam, 2
0.5000, Battle Rage, 2
0.5000, Shield Block, 2
0.4000, Whirlwind, 2
0.3800, Kor'kron Elite, 2
0.3800, Frothing Berserker, 2
0.3600, N'Zoth's First Mate, 2
0.3600, Brawl, 1
0.3200, Arcanite Reaper, 2
0.3200, Upgrade!, 2
0.3200, Bloodsail Cultist, 2
0.2800, Fiery War Axe, 2
0.2600, Bring It On!, 2
0.2400, Ravaging Ghoul, 2
0.2400, Dead Man's Hand, 2
0.2200, Mountainfire Armor, 2
0.2200, Dead Man's Hand, 1
0.2000, Brawl, 2
0.1800, Direhorn Hatchling, 2
0.1400, Alley Armorsmith, 2
0.1400, Shield Slam, 2
0.1400, Public Defender, 1
0.1200, Direhorn Hatchling, 1
0.1200, Fire Plume's Heart, 1
0.1000, Mortal Strike, 2
0.1000, Slam, 1
0.0800, Heroic Strike, 2
0.0800, Battle Rage, 1
0.0800, Grommash Hellscream, 1
0.0800, Shield Slam, 1
0.0600, Fiery War Axe, 1
0.0600, Blood To Ichor, 2
0.0600, Bloodhoof Brave, 1
0.0400, Mortal Strike, 1
0.0400, Shield Block, 1
0.0400, Forge of Souls, 1
0.0400, Commanding Shout, 2
0.0400, Whirlwind, 1
0.0400, Inner Rage, 2
0.0400, Sudden Genesis, 1
0.0400, Rotface, 1
0.0400, Blood To Ichor, 1
0.0400, Ravaging Ghoul, 1
0.0400, Armorsmith, 1
0.0200, Arathi Weaponsmith, 2
0.0200, Fool's Bane, 1
0.0200, Bloodhoof Brave, 2
0.0200, Rampage, 2
0.0200, Public Defender, 2
0.0200, Ancient Shieldbearer, 2
0.0200, Sleep with the Fishes, 1
