total decks: 89
1.0000, Jade Claws
1.0000, Jade Lightning
0.9775, Mana Tide Totem
0.9775, Maelstrom Portal
0.9551, Devolve
0.9326, Evolve
0.9326, Thing from Below
0.8876, Thrall, Deathseer
0.8652, Flametongue Totem
0.8539, Bloodlust
0.7978, Primalfin Totem
0.1910, Lightning Storm
0.1348, Jade Chieftain
0.1348, Volcano
0.0674, Hex
0.0449, Jinyu Waterspeaker
0.0337, Master of Evolution
0.0337, Spirit Echo
0.0337, Hot Spring Guardian
0.0337, Fire Elemental
0.0337, Kalimos, Primal Lord
0.0225, Lightning Bolt
0.0225, Ancestral Spirit
0.0225, Earth Elemental
0.0112, Al'Akir the Windlord
0.0112, Far Sight
0.0112, White Eyes
0.0112, Hallazeal the Ascended
