total decks: 1114
821, Fire Fly
695, Bonemare
468, Tar Creeper
451, Southsea Captain
450, Golakka Crawler
438, Backstab
430, Vilespine Slayer
429, Cobalt Scalebane
426, Swashburglar
419, Patches the Pirate
412, Southsea Deckhand
395, SI:7 Agent
375, Doomsayer
366, Shadowstep
334, Jade Spirit
326, Bloodsail Corsair
320, Cold Blood
315, Ultimate Infestation
313, Swipe
306, Nourish
304, Wrath
303, Jade Blossom
296, Wild Growth
288, Prince Keleseth
286, Jade Behemoth
286, Jade Idol
271, Spreading Plague
262, Primordial Glyph
261, Arcane Intellect
247, Shadow Visions
245, Spellbreaker
244, Arcanologist
232, Acolyte of Pain
229, Dragonfire Potion
227, Shadow Word: Pain
225, Aya Blackpaw
221, Shadow Word: Death
220, Mire Keeper
212, Bittertide Hydra
210, Edwin VanCleef
207, Potion of Madness
204, Voidwalker
195, Despicable Dreadlord
194, Leeroy Jenkins
194, Bloodmage Thalnos
190, Mark of the Lotus
188, Frostbolt
184, Novice Engineer
182, Power Word: Shield
180, Northshire Cleric
178, Jade Claws
177, Jade Lightning
173, Vicious Fledgling
173, Saronite Chain Gang
173, Maelstrom Portal
172, Doppelgangster
172, Mana Tide Totem
168, Silence
166, Radiant Elemental
166, Evolve
166, Thing from Below
165, Shadowreaper Anduin
164, Fireball
161, Medivh's Valet
159, Stonehill Defender
156, Ice Block
154, Flametongue Totem
153, Spirit Lash
153, Devolve
152, Malfurion the Pestilent
152, Shadow Word: Horror
152, Pint-Size Potion
148, Mana Wyrm
147, Coldlight Oracle
145, Sorcerer's Apprentice
145, Kazakus
145, Priest of the Feast
145, Holy Smite
143, Mind Control Tech
142, Kill Command
141, Fandral Staghelm
140, Alleycat
140, Animal Companion
139, Houndmaster
139, Eaglehorn Bow
138, The Lich King
136, Crackling Razormaw
136, Primalfin Totem
131, Raza the Chained
130, Firelands Portal
130, Shaku, the Collector
129, Frost Nova
129, Bloodlust
127, Flame Imp
126, Dirty Rat
126, Doomguard
125, Blizzard
125, Loot Hoarder
124, Curious Glimmerroot
123, Greater Healing Potion
122, Savannah Highmane
120, Lyra the Sunshard
118, Soulfire
117, Kindly Grandmother
117, Wild Pyromancer
117, Prophet Velen
116, Malchezaar's Imp
114, Babbling Book
112, Medivh, the Guardian
111, Bearshark
108, Mortal Coil
107, Acherus Veteran
107, Counterspell
101, Mind Blast
100, Naga Corsair
99, Skulking Geist
96, Darkshire Councilman
