total decks: 136
1.0000, Arcane Intellect
0.9926, Primordial Glyph
0.9338, Arcanologist
0.7353, Frostbolt
0.6397, Fireball
0.6324, Ice Block
0.6250, Medivh's Valet
0.5662, Mana Wyrm
0.5368, Sorcerer's Apprentice
0.5368, Doomsayer
0.5294, Firelands Portal
0.5294, Blizzard
0.4926, Babbling Book
0.4926, Frost Nova
0.4485, Counterspell
0.4265, Ice Barrier
0.4044, Archmage Antonidas
0.3676, Cabalist's Tome
0.3382, Kirin Tor Mage
0.3309, Frost Lich Jaina
0.3309, Open the Waygate
0.3235, Kabal Crystal Runner
0.3088, Mirror Entity
0.3015, Flamestrike
0.2941, Polymorph
0.2868, Molten Reflection
0.2868, Coldlight Oracle
0.2721, Alexstrasza
0.2721, Novice Engineer
0.2647, Meteor
0.2574, Volcanic Potion
0.2279, Simulacrum
0.2132, Medivh, the Guardian
0.1912, Bonemare
0.1912, Acolyte of Pain
0.1912, Bloodmage Thalnos
0.1765, Skulking Geist
0.1618, Water Elemental
0.1618, Ghastly Conjurer
0.1544, Tar Creeper
0.1471, Spellbender
0.1324, Golakka Crawler
0.1029, The Lich King
0.0956, Pyros
0.0882, Burgly Bully
0.0882, Baron Geddon
0.0809, Servant of Kalimos
0.0735, Bittertide Hydra
0.0662, Arcane Giant
0.0662, Mana Bind
0.0662, Pyroblast
0.0662, Blazecaller
0.0588, Steam Surger
0.0588, Kazakus
0.0515, Kabal Lackey
0.0515, Cobalt Scalebane
0.0515, Flame Geyser
0.0515, Fire Fly
0.0515, Kabal Courier
0.0441, Tol'vir Stoneshaper
0.0441, Dirty Rat
0.0368, Sindragosa
0.0368, Loot Hoarder
0.0294, Yogg-Saron, Hope's End
0.0294, Elise the Trailblazer
0.0221, Inkmaster Solia
0.0147, The Black Knight
0.0147, Frozen Clone
0.0147, Shimmering Tempest
0.0147, Cone of Cold
0.0147, Mind Control Tech
0.0074, Gluttonous Ooze
0.0074, Potion of Polymorph
0.0074, Faceless Summoner
0.0074, Igneous Elemental
0.0074, Arcane Missiles
0.0074, Eater of Secrets
0.0074, Forbidden Flame
0.0074, Mistress of Mixtures
0.0074, Molten Giant
